canonical_id	representative_accession	representative_source	gcf_accession	gca_accession	pair_status	organism_name	tax_id	strain	assembly_level	assembly_status	refseq_category	genome_size_bp	gc_percent	number_of_contigs	number_of_scaffolds	contig_n50	scaffold_n50	bioproject_accession	biosample_accession	submitter	release_date
CANON_00011	GCF_015291705.1	REFSEQ	GCF_015291705.1	GCA_015291705.1	paired	Bradyrhizobium arachidis	858423	CCBAU 051107	Complete Genome	current	reference genome	9865973	63.5	1	1	9865973	9865973	PRJNA279918	SAMN03451901	China Agricultural University	2020-11-09
CANON_00012	GCF_000472685.1	REFSEQ	GCF_000472685.1	GCA_000472685.1	paired	Bradyrhizobium arachidis	858423	USDA 3384	Scaffold	current		9800269	63.5	52	51	376385	376385	PRJNA165353	SAMN02441457	DOE Joint Genome Institute	2013-09-30
CANON_00013	GCF_021052265.1	REFSEQ	GCF_021052265.1	GCA_021052265.1	paired	Bradyrhizobium arachidis	858423	CB756	Complete Genome	current		9825352	63.5	1	1	9825352	9825352	PRJNA783123	SAMN23416906	Murdoch University	2021-12-06
CANON_00014	GCF_024758445.1	REFSEQ	GCF_024758445.1	GCA_024758445.1	paired	Bradyrhizobium arachidis	858423	Hy4	Complete Genome	current		8003242	63.5	1	1	8003242	8003242	PRJNA742259	SAMN19944273	School of Life Sciences,South China Normal University	2022-08-29
CANON_00015	GCF_024758505.1	REFSEQ	GCF_024758505.1	GCA_024758505.1	paired	Bradyrhizobium arachidis	858423	SM32	Complete Genome	current		9429272	63	1	1	9429272	9429272	PRJNA741977	SAMN19945678	School of Life Sciences,South China Normal University	2022-08-29
CANON_00016	GCF_900116675.1	REFSEQ	GCF_900116675.1	GCA_900116675.1	paired	Bradyrhizobium arachidis	858423	LMG 26795	Scaffold	current		9793799	63.5	104	98	194418	213844	PRJEB17582	SAMN05192541	DOE - JOINT GENOME INSTITUTE	2016-11-05
CANON_00017	GCF_013114835.1	REFSEQ	GCF_013114835.1	GCA_013114835.1	paired	Bradyrhizobium archetypum	2721160	WSM 1744	Contig	current	reference genome	7017218	62.5	35	35	804703	804703	PRJNA615178	SAMN14448121	Empresa Brasileira de Pesquisa Agropecuaria	2020-05-18
CANON_00018	GCF_020329495.1	REFSEQ	GCF_020329495.1	GCA_020329495.1	paired	Bradyrhizobium australafricanum	2821406	WSM 4400	Contig	current	reference genome	9684669	63.5	221	221	125914	125914	PRJNA717299	SAMN18497705	Empresa Brasileira de Pesquisa Agropecuaria	2021-10-06
CANON_00019	GCF_056156585.1	REFSEQ	GCF_056156585.1	GCA_056156585.1	paired	Bradyrhizobium australafricanum	2821406	Cens 1A	Contig	current		8590997	64	145	145	184416	184416	PRJNA1293807	SAMN50045061	The James Hutton Institute	2026-03-19
CANON_00020	GCF_013114825.1	REFSEQ	GCF_013114825.1	GCA_013114825.1	paired	Bradyrhizobium australiense	2721161	WSM 1791	Contig	current	reference genome	7436256	62	46	46	720641	720641	PRJNA615193	SAMN14448309	Empresa Brasileira de Pesquisa Agropecuaria	2020-05-18
CANON_00021	GCF_021052365.1	REFSEQ	GCF_021052365.1	GCA_021052365.1	paired	Bradyrhizobium barranii	2992140	CC829	Complete Genome	current		10502301	63.5	4	4	9625657	9625657	PRJNA783123	SAMN23416901	Murdoch University	2021-12-06
CANON_00022	GCF_029714225.1	REFSEQ	GCF_029714225.1	GCA_029714225.1	paired	Bradyrhizobium barranii	2992140	CC1502	Complete Genome	current		10198616	63.5	2	2	9756923	9756923	PRJNA783123	SAMN34043465	Murdoch University	2023-04-13
CANON_00023	GCF_052402455.1	REFSEQ	GCF_052402455.1	GCA_052402455.1	paired	Bradyrhizobium barranii	2992140	RCAM1614	Contig	current		9773268	63.5	5	5	9330649	9330649	PRJNA1311437	SAMN50804268	All-Russia Research Institute for Agricultural Microbiology	2025-09-01
CANON_00024	GCF_056148755.1	REFSEQ	GCF_056148755.1	GCA_056148755.1	paired	Bradyrhizobium barranii	2992140	LM1	Complete Genome	current		9860378	63.5	2	2	9413995	9413995	PRJNA1311437	SAMN56437741	All-Russia Research Institute for Agricultural Microbiology	2026-03-20
CANON_00025	GCF_056148815.1	REFSEQ	GCF_056148815.1	GCA_056148815.1	paired	Bradyrhizobium barranii	2992140	RCAM_LP2	Complete Genome	current		10493007	63	1	1	10493007	10493007	PRJNA1311437	SAMN56437943	All-Russia Research Institute for Agricultural Microbiology	2026-03-20
CANON_00026	GCF_056238545.1	REFSEQ	GCF_056238545.1	GCA_056238545.1	paired	Bradyrhizobium barranii	2992140	RCAM_LM5	Complete Genome	current		10240740	63.5	2	2	9813148	9813148	PRJNA1311437	SAMN56485145	All-Russia Research Institute for Agricultural Microbiology	2026-03-23
CANON_00027	GCF_056312355.1	REFSEQ	GCF_056312355.1	GCA_056312355.1	paired	Bradyrhizobium barranii	2992140	RCAM_PM2	Complete Genome	current		9867048	63.5	1	1	9867048	9867048	PRJNA1311437	SAMN56491185	All-Russia Research Institute for Agricultural Microbiology	2026-03-25
CANON_00028	GCF_056552435.1	REFSEQ	GCF_056552435.1	GCA_056552435.1	paired	Bradyrhizobium barranii	2992140	RCAM_UN1	Complete Genome	current		10064820	63.5	1	1	10064820	10064820	PRJNA1311437	SAMN56486506	All-Russia Research Institute for Agricultural Microbiology	2026-04-03
CANON_00029	GCF_011516635.5	REFSEQ	GCF_011516635.5	GCA_011516635.5	paired	Bradyrhizobium barranii subsp. apii	2819348	1S5	Complete Genome	current		10580853	63.5	3	3	9940904	9940904	PRJNA612001	SAMN14355770	Agriculture and Agri-Food Canada	2022-05-02
CANON_00030	GCF_017565685.3	REFSEQ	GCF_017565685.3	GCA_017565685.3	paired	Bradyrhizobium barranii subsp. apii	2819348	38S5	Complete Genome	current		10530141	63.5	4	4	9953276	9953276	PRJNA714594	SAMN18312895	Agriculture and Agri-Food Canada	2022-05-02
CANON_00031	GCF_011068405.5	REFSEQ	GCF_011068405.5	GCA_011068405.5	paired	Bradyrhizobium barranii subsp. barranii	2823807	323S2	Complete Genome	current	reference genome	11474152	63	5	5	10427939	10427939	PRJNA608878	SAMN14212100	Agriculture and Agri-Food Canada	2021-12-15
CANON_00032	GCF_017565645.3	REFSEQ	GCF_017565645.3	GCA_017565645.3	paired	Bradyrhizobium barranii subsp. barranii	2823807	144S4	Complete Genome	current		11399526	63	4	4	10692809	10692809	PRJNA714589	SAMN18312838	Agriculture and Agri-Food Canada	2021-11-09
CANON_00033	GCF_054822365.1	REFSEQ	GCF_054822365.1	GCA_054822365.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 428	Contig	current		11543667	63	4	4	10746730	10746730	PRJNA1339298	SAMN52639248	DOE Joint Genome Institute	2026-01-29
CANON_00034	GCF_054822425.1	REFSEQ	GCF_054822425.1	GCA_054822425.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 432	Contig	current		11549447	63	5	5	10900461	10900461	PRJNA1344057	SAMN52638233	DOE Joint Genome Institute	2026-01-29
CANON_00035	GCF_054822805.1	REFSEQ	GCF_054822805.1	GCA_054822805.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 425	Contig	current		11464353	63	5	5	10491397	10491397	PRJNA1340073	SAMN52637638	DOE Joint Genome Institute	2026-01-29
CANON_00036	GCF_054822905.1	REFSEQ	GCF_054822905.1	GCA_054822905.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 465	Contig	current		11637886	63	5	5	7700054	7700054	PRJNA1344140	SAMN52637407	DOE Joint Genome Institute	2026-01-29
CANON_00037	GCF_054823005.1	REFSEQ	GCF_054823005.1	GCA_054823005.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 438	Contig	current		11441394	63	4	4	10916075	10916075	PRJNA1344117	SAMN52637357	DOE Joint Genome Institute	2026-01-29
CANON_00038	GCF_054823685.1	REFSEQ	GCF_054823685.1	GCA_054823685.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 424	Contig	current		11092994	63	4	4	10568661	10568661	PRJNA1339618	SAMN52637587	DOE Joint Genome Institute	2026-01-29
CANON_00039	GCF_054823885.1	REFSEQ	GCF_054823885.1	GCA_054823885.1	paired	Bradyrhizobium barranii subsp. barranii	2823807	USDA 437	Contig	current		11456116	63	5	5	8272436	8272436	PRJNA1339985	SAMN52638564	DOE Joint Genome Institute	2026-01-29
CANON_00040	GCF_008932115.1	REFSEQ	GCF_008932115.1	GCA_008932115.1	paired	Bradyrhizobium betae	244734	PL7HG1	Complete Genome	current	reference genome	7419402	64.5	2	2	7150095	7150095	PRJNA575551	SAMN12900461	Agriculture and Agri-Food Canada	2019-10-09
CANON_00041	GCF_004123905.1	REFSEQ	GCF_004123905.1	GCA_004123905.1	paired	Bradyrhizobium betae	244734	Opo-243	Contig	current		8630250	64	57	57	355265	355265	PRJNA329489	SAMN06603674	ARRIAM	2019-01-31
CANON_00042	GCF_024585145.1	REFSEQ	GCF_024585145.1	GCA_024585145.1	paired	Bradyrhizobium betae	244734	WBOS16	Chromosome	current		6724403	65	1	1	6724303	6724403	PRJNA450703	SAMN08944413	University of Calcutta	2022-08-08
CANON_00043	GCF_024806875.1	REFSEQ	GCF_024806875.1	GCA_024806875.1	paired	Bradyrhizobium betae	244734	CECT 5829	Contig	current		7334789	64.5	28	28	565778	565778	PRJNA546689	SAMN12025190	DOE Joint Genome Institute	2022-08-31
CANON_00044	GCF_050632175.1	REFSEQ	GCF_050632175.1	GCA_050632175.1	paired	Bradyrhizobium betae	244734	P42	Complete Genome	current		7127334	64	1	1	7127334	7127334	PRJNA1263914	SAMN48544566	The University of Sydney	2025-06-01
CANON_00045	GCA_053181885.1	GENBANK		GCA_053181885.1	unpaired	Bradyrhizobium betae	244734	39S1MB	Contig	current		8417902	64.5	59	59	568201	568201	PRJNA1263914	SAMN48544547	The University of Sydney	2025-10-23
CANON_00046	GCF_029714345.1	REFSEQ	GCF_029714345.1	GCA_029714345.1	paired	Bradyrhizobium brasilense	1419277	5G1B	Complete Genome	current	reference genome	8976199	64	1	1	8976199	8976199	PRJNA783123	SAMN34043452	Murdoch University	2023-04-13
CANON_00047	GCF_001969825.1	REFSEQ	GCF_001969825.1	GCA_001969825.1	paired	Bradyrhizobium brasilense	1419277	UFLA03-321	Contig	current		8595048	64	94	94	188493	188493	PRJNA354699	SAMN06050723	Universidade Federal do Parana (UFPR)	2017-01-23
CANON_00048	GCF_012689435.1	REFSEQ	GCF_012689435.1	GCA_012689435.1	paired	Bradyrhizobium brasilense	1419277	UFLA0613	Scaffold	current		9178787	63.5	445	444	98915	98915	PRJNA418781	SAMN10924276	Universidade Federal de Lavras	2020-04-22
CANON_00049	GCF_020889715.1	REFSEQ	GCF_020889715.1	GCA_020889715.1	paired	Bradyrhizobium brasilense	1419277	Cham227	Contig	current		9072283	63.5	917	917	17537	17537	PRJNA657394	SAMN15826093	University of Pretoria	2021-11-19
CANON_00050	GCF_020889755.1	REFSEQ	GCF_020889755.1	GCA_020889755.1	paired	Bradyrhizobium brasilense	1419277	Arg62	Contig	current		9236472	63.5	613	613	28398	28398	PRJNA657394	SAMN15826091	University of Pretoria	2021-11-19
CANON_00051	GCF_024199825.1	REFSEQ	GCF_024199825.1	GCA_024199825.1	paired	Bradyrhizobium brasilense	1419277	B51278	Contig	current		8566773	64	103	103	183661	183661	PRJNA842432	SAMN28667588	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_00052	GCF_029714765.1	REFSEQ	GCF_029714765.1	GCA_029714765.1	paired	Bradyrhizobium brasilense	1419277	CB627	Complete Genome	current		9148457	63.5	1	1	9148457	9148457	PRJNA783123	SAMN34043462	Murdoch University	2023-04-13
CANON_00053	GCF_900101405.1	REFSEQ	GCF_900101405.1	GCA_900101405.1	paired	Bradyrhizobium brasilense	1419277	R5	Scaffold	current		9444915	63.5	128	124	142424	147181	PRJEB15724	SAMN05216337	DOE - JOINT GENOME INSTITUTE	2016-10-21
CANON_00054	GCF_009759665.1	REFSEQ	GCF_009759665.1	GCA_009759665.1	paired	Bradyrhizobium cajani	1928661	1010	Contig	current	reference genome	8381257	64	112	112	179194	179194	PRJNA593773	SAMN13489115	Universidad de Salamanca	2019-12-17
CANON_00055	GCF_024199785.1	REFSEQ	GCF_024199785.1	GCA_024199785.1	paired	Bradyrhizobium cajani	1928661	B51279	Contig	current		8361402	64	120	120	117907	117907	PRJNA842432	SAMN28667589	Universidad Nacional Autonoma de Mexico	2022-07-10
CANON_00056	GCF_014530645.1	REFSEQ	GCF_014530645.1	GCA_014530645.1	paired	Bradyrhizobium campsiandrae	1729892	INPA 384B	Scaffold	current	reference genome	8871850	63.5	172	168	109466	112187	PRJNA612854	SAMN14383894	Universidade Federal de Lavras	2020-09-14
CANON_00057	GCF_014529705.1	REFSEQ	GCF_014529705.1	GCA_014529705.1	paired	Bradyrhizobium campsiandrae	1729892	INPA 394B	Scaffold	current		9084813	63.5	483	481	110456	110456	PRJNA610245	SAMN14291063	Universidade Federal de Lavras	2020-09-11
CANON_00058	GCF_019402665.1	REFSEQ	GCF_019402665.1	GCA_019402665.1	paired	Bradyrhizobium canariense	255045	BTA-1	Scaffold	current	reference genome	8561472	63	155	154	130886	130886	PRJNA560860	SAMN12600545	LMU Munich	2021-07-29
CANON_00059	GCF_002108675.1	REFSEQ	GCF_002108675.1	GCA_002108675.1	paired	Bradyrhizobium canariense	255045	UBMA050	Contig	current		8299015	63	188	188	270609	270609	PRJNA355288	SAMN06067981	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00060	GCF_002108695.1	REFSEQ	GCF_002108695.1	GCA_002108695.1	paired	Bradyrhizobium canariense	255045	UBMA051	Contig	current		8273379	63	173	173	146548	146548	PRJNA355289	SAMN06067988	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00061	GCF_002108725.1	REFSEQ	GCF_002108725.1	GCA_002108725.1	paired	Bradyrhizobium canariense	255045	UBMA060	Contig	current		8291234	63	204	204	202032	202032	PRJNA355291	SAMN06068090	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00062	GCF_002108745.1	REFSEQ	GCF_002108745.1	GCA_002108745.1	paired	Bradyrhizobium canariense	255045	UBMA052	Contig	current		8294491	63	182	182	140764	140764	PRJNA355580	SAMN06077199	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00063	GCF_002108755.1	REFSEQ	GCF_002108755.1	GCA_002108755.1	paired	Bradyrhizobium canariense	255045	UBMA061	Contig	current		8267021	63	196	196	102328	102328	PRJNA355572	SAMN06077193	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00064	GCF_002108775.1	REFSEQ	GCF_002108775.1	GCA_002108775.1	paired	Bradyrhizobium canariense	255045	UBMA195	Contig	current		8274608	63	190	190	171855	171855	PRJNA355578	SAMN06077197	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00065	GCF_002108805.1	REFSEQ	GCF_002108805.1	GCA_002108805.1	paired	Bradyrhizobium canariense	255045	UBMAN05	Contig	current		8376411	63	178	178	168481	168481	PRJNA355285	SAMN06067958	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00066	GCF_002108825.1	REFSEQ	GCF_002108825.1	GCA_002108825.1	paired	Bradyrhizobium canariense	255045	UBMA122	Contig	current		8214782	63	177	177	199090	199090	PRJNA355581	SAMN06077200	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00067	GCF_002108845.1	REFSEQ	GCF_002108845.1	GCA_002108845.1	paired	Bradyrhizobium canariense	255045	UBMA182	Contig	current		8216640	63	114	114	152760	152760	PRJNA355585	SAMN06080266	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00068	GCF_002108865.1	REFSEQ	GCF_002108865.1	GCA_002108865.1	paired	Bradyrhizobium canariense	255045	UBMA192	Contig	current		8287509	63	180	180	239857	239857	PRJNA355573	SAMN06077195	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00069	GCF_002108875.1	REFSEQ	GCF_002108875.1	GCA_002108875.1	paired	Bradyrhizobium canariense	255045	UBMA183	Contig	current		8288770	63	183	183	201886	201886	PRJNA355588	SAMN06088718	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00070	GCF_002108905.1	REFSEQ	GCF_002108905.1	GCA_002108905.1	paired	Bradyrhizobium canariense	255045	UBMA510	Contig	current		8367860	63	159	159	188349	188349	PRJNA355158	SAMN06064765	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00071	GCF_002108965.1	REFSEQ	GCF_002108965.1	GCA_002108965.1	paired	Bradyrhizobium canariense	255045	UBMA181	Contig	current		8299676	63	227	227	202394	202394	PRJNA355583	SAMN06077202	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00072	GCF_002108995.1	REFSEQ	GCF_002108995.1	GCA_002108995.1	paired	Bradyrhizobium canariense	255045	UBMA171	Contig	current		8279565	63	195	195	201886	201886	PRJNA355582	SAMN06077201	University of Applied Sciences and Arts Western Switzerland hepia	2017-04-24
CANON_00073	GCF_016907215.1	REFSEQ	GCF_016907215.1	GCA_016907215.1	paired	Bradyrhizobium canariense	255045	USDA 3040	Contig	current		7995639	63	1	1	7995639	7995639	PRJNA695760	SAMN17620003	DOE Joint Genome Institute	2021-02-19
CANON_00074	GCF_018130465.1	REFSEQ	GCF_018130465.1	GCA_018130465.1	paired	Bradyrhizobium canariense	255045	SZCCT0289	Contig	current		7511607	64	32	32	398686	398686	PRJNA698083	SAMN17707982	The Chinese University of Hong Kong	2021-04-22
CANON_00075	GCF_900105125.1	REFSEQ	GCF_900105125.1	GCA_900105125.1	paired	Bradyrhizobium canariense	255045	GAS369	Chromosome	current		7842044	61	1	1	7841944	7842044	PRJEB16424	SAMN05444158	DOE - JOINT GENOME INSTITUTE	2016-10-20
CANON_00076	GCA_045811605.1	GENBANK		GCA_045811605.1	unpaired	Bradyrhizobium canariense	255045		Contig	current		4926806	64.5	748	748	7761	7761	PRJNA856348	SAMN41400529	University of California Berkeley	2024-12-08
CANON_00077	GCF_054602315.1	REFSEQ	GCF_054602315.1	GCA_054602315.1	paired	Bradyrhizobium cedriense	3470879	1.29L	Contig	current	reference genome	7878361	64	27	27	977975	977975	PRJNA1363142	SAMN53206986	EMBM Laboratory, Faculty of Sciences, Mohammed V University in Rabat	2026-01-21
CANON_00078	GCF_054602195.1	REFSEQ	GCF_054602195.1	GCA_054602195.1	paired	Bradyrhizobium cedriense	3470879	1.27L	Contig	current		7878339	64	26	26	1147892	1147892	PRJNA1363142	SAMN53206987	EMBM Laboratory, Faculty of Sciences, Mohammed V University in Rabat	2026-01-21
CANON_00079	GCF_054602205.1	REFSEQ	GCF_054602205.1	GCA_054602205.1	paired	Bradyrhizobium cedriense	3470879	5.13L	Contig	current		7796223	64	36	36	669946	669946	PRJNA1363142	SAMN53206988	EMBM Laboratory, Faculty of Sciences, Mohammed V University in Rabat	2026-01-21
CANON_00080	GCF_020329485.1	REFSEQ	GCF_020329485.1	GCA_020329485.1	paired	Bradyrhizobium cenepequi	2821403	CNPSo 4026	Contig	current	reference genome	8472857	62.5	188	188	149882	149882	PRJNA717289	SAMN18492691	Empresa Brasileira de Pesquisa Agropecuaria	2021-10-06
CANON_00081	GCF_977008075.1	REFSEQ	GCF_977008075.1	GCA_977008075.1	paired	Bradyrhizobium cenepequi	2821403	R-93074	Contig	current		7972571	63	2	2	7775886	7775886	PRJEB88388	SAMEA120356358	LM-UGent	2025-11-08
CANON_00082	GCF_977012035.1	REFSEQ	GCF_977012035.1	GCA_977012035.1	paired	Bradyrhizobium cenepequi	2821403	R-93102	Complete Genome	current		7629296	63	1	1	7629296	7629296	PRJEB88388	SAMEA120399600	LM-UGent	2025-11-21
CANON_00083	GCF_977012055.1	REFSEQ	GCF_977012055.1	GCA_977012055.1	paired	Bradyrhizobium cenepequi	2821403	R-93116	Contig	current		7678033	63	2	2	7630009	7630009	PRJEB88388	SAMEA120399601	LM-UGent	2025-11-28
CANON_00084	GCF_001641635.1	REFSEQ	GCF_001641635.1	GCA_001641635.1	paired	Bradyrhizobium centrolobii	1505087	BR 10245	Scaffold	current	reference genome	10111113	63	215	133	83109	140269	PRJNA301972	SAMN04448272	Embrapa Agrobiologia	2016-05-10
CANON_00085	GCF_045571495.1	REFSEQ	GCF_045571495.1	GCA_045571495.1	paired	Bradyrhizobium centrosematis	1300039	LMG 29515	Complete Genome	current	reference genome	7598687	64	1	1	7598687	7598687	PRJNA944954	SAMN33769197	IRD	2024-12-03
CANON_00086	GCF_024809395.1	REFSEQ	GCF_024809395.1	GCA_024809395.1	paired	Bradyrhizobium centrosematis	1300039	SEMIA 424	Scaffold	current		8002051	64	15	14	1544534	2067830	PRJNA581047	SAMN13165441	DOE Joint Genome Institute	2022-08-31
CANON_00087	GCF_024809475.1	REFSEQ	GCF_024809475.1	GCA_024809475.1	paired	Bradyrhizobium centrosematis	1300039	SEMIA 431	Scaffold	current		8006841	64	11	9	1627063	2067585	PRJNA581050	SAMN13165533	DOE Joint Genome Institute	2022-08-31
CANON_00088	GCF_056867965.1	REFSEQ	GCF_056867965.1	GCA_056867965.1	paired	Bradyrhizobium centrosematis	1300039	SVR5-10H	Complete Genome	current		7346242	64.5	1	1	7346242	7346242	PRJNA1250502	SAMN47941073	North Carolina State University	2026-04-23
CANON_00089	GCF_015624505.1	REFSEQ	GCF_015624505.1	GCA_015624505.1	paired	Bradyrhizobium commune	83627	BDV5040	Complete Genome	current	reference genome	7622528	64	1	1	7622528	7622528	PRJNA662585	SAMN16089659	Universite Claude Bernard - Lyon 1	2020-11-20
CANON_00090	GCF_000284275.1	REFSEQ	GCF_000284275.1	GCA_000284275.1	paired	Bradyrhizobium cosmicum	1404864	S23321	Complete Genome	current	reference genome	7231841	64.5	1	1	7231841	7231841	PRJDA72425	SAMD00060998	National Institute of Genetics	2012-03-28
CANON_00091	GCF_007290395.2	REFSEQ	GCF_007290395.2	GCA_007290395.2	paired	Bradyrhizobium cosmicum	1404864	58S1	Complete Genome	current		7271215	64.5	1	1	7271215	7271215	PRJNA554308	SAMN12262001	Agriculture and Agri-Food Canada	2024-02-23
CANON_00092	GCF_032290525.1	REFSEQ	GCF_032290525.1	GCA_032290525.1	paired	Bradyrhizobium cosmicum	1404864	RH_3a_1	Contig	current		8321747	63.5	686	686	277777	277777	PRJNA984002	SAMN35742093	Hebrew University	2023-10-02
CANON_00093	GCF_008123515.1	REFSEQ	GCF_008123515.1	GCA_008123515.1	paired	Bradyrhizobium cytisi	515489	CTAW11	Contig	current	reference genome	8854489	63	186	186	126158	126158	PRJNA560796	SAMN12600325	LMU Munich	2019-08-28
CANON_00094	GCF_021044685.1	REFSEQ	GCF_021044685.1	GCA_021044685.1	paired	Bradyrhizobium daqingense	993502	CCBAU 15774	Complete Genome	current	reference genome	7998085	63.5	1	1	7998085	7998085	PRJNA781976	SAMN23310456	Agriculture and Agri-Food Canada	2021-12-05
CANON_00095	GCF_007830205.1	REFSEQ	GCF_007830205.1	GCA_007830205.1	paired	Bradyrhizobium daqingense	993502	CGMCC 1.10947	Scaffold	current		7889191	63.5	110	107	276349	276349	PRJNA255603	SAMN02927912	DOE Joint Genome Institute	2019-08-02
CANON_00096	GCF_044909455.1	REFSEQ	GCF_044909455.1	GCA_044909455.1	paired	Bradyrhizobium daqingense	993502	USDA 221	Contig	current		8044973	63.5	1	1	8044973	8044973	PRJNA1115769	SAMN41513990	DOE Joint Genome Institute	2024-11-14
CANON_00097	GCF_042019905.1	REFSEQ	GCF_042019905.1	GCA_042019905.1	paired	Bradyrhizobium dasycarpae	3341829	RDT46	Complete Genome	current	reference genome	6966653	65	1	1	6966653	6966653	PRJNA1155629	SAMN43462566	Mohamed V university	2024-09-19
CANON_00098	GCF_013179005.1	REFSEQ	GCF_013179005.1	GCA_013179005.1	paired	Bradyrhizobium denitrificans	2734912	LMG 8443	Scaffold	current	reference genome	8333290	64.5	106	102	199084	200228	PRJNA631138	SAMN14852690	Yantai Institute of Coastal Zone Research	2020-05-27
CANON_00099	GCF_018129525.1	REFSEQ	GCF_018129525.1	GCA_018129525.1	paired	Bradyrhizobium denitrificans	2734912	SZCCT0094	Contig	current		8495489	65	115	115	175090	175090	PRJNA698083	SAMN17707935	The Chinese University of Hong Kong	2021-04-22
CANON_00100	GCF_023572055.1	REFSEQ	GCF_023572055.1	GCA_023572055.1	paired	Bradyrhizobium denitrificans	2734912	K2	Contig	current		8283947	65	101	101	154070	154070	PRJNA841482	SAMN28596977	University of Estern Finland	2022-05-28
CANON_00101	GCF_053891355.1	REFSEQ	GCF_053891355.1	GCA_053891355.1	paired	Bradyrhizobium denitrificans	2734912	SoilA	Complete Genome	current		8629737	64.5	2	2	8399321	8399321	PRJNA1302448	SAMN50479368	Arizona State University	2025-12-09
