canonical_id	gcf_accession	gca_accession	pair_status	missing_partner_accession	original_representative_accession	original_representative_status	selected_accession	selected_source	selected_status	selection_reason	organism_name	tax_id	strain	assembly_level	genome_size_bp	gc_percent	number_of_contigs	contig_n50	genome_size_modified_z	gc_percent_modified_z	metadata_decision	pangenome_contiguity_class	synteny_class	sequence_qc_status	taxonomy_qc_status	flags
CANON_00022	GCF_000261725.1	GCA_000261725.1	paired		GCF_000261725.1	current	GCF_000261725.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium genomosp. III	2683271	CCBAU 15615	Contig	8852539	63.5	453	44201	0.386972	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00023	GCF_000261745.1	GCA_000261745.1	paired		GCF_000261745.1	current	GCF_000261745.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium genomosp. III	2683271	CCBAU 15635	Contig	8288715	64	456	34535	-0.054403	0.6745	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00024	GCF_000261765.1	GCA_000261765.1	paired		GCF_000261765.1	current	GCF_000261765.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	CCBAU 41267	Contig	9121826	64	563	30035	0.597776	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00025	GCF_000261785.1	GCA_000261785.1	paired		GCF_000261785.1	current	GCF_000261785.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium yuanmingense CCBAU 05623	1128326	CCBAU 05623	Contig	8245751	64	570	28696	-0.088036	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00026	GCF_000261805.1	GCA_000261805.1	paired		GCF_000261805.1	current	GCF_000261805.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium yuanmingense CCBAU 25021	1128327	CCBAU 25021	Contig	7990949	64	490	31878	-0.287502	0.6745	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00027	GCF_000261825.1	GCA_000261825.1	paired		GCF_000261825.1	current	GCF_000261825.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium yuanmingense CCBAU 35157	1128328	CCBAU 35157	Contig	7854129	64	457	31040	-0.394608	0.6745	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00028	GCF_000282615.1	GCA_000282615.1	paired		GCF_000282615.1	current	GCF_000282615.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. YR681	1144344	YR681	Contig	7831714	64.5	351	37719	-0.412155	1.349	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00029	GCF_000284275.1	GCA_000284275.1	paired		GCF_000284275.1	current	GCF_000284275.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium cosmicum	1404864	S23321	Complete Genome	7231841	64.5	1	7231841	-0.88175	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00030	GCF_000284375.1	GCA_000284375.1	paired		GCF_000284375.1	current	GCF_000284375.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum USDA 6	1037409	USDA 6	Complete Genome	9207384	63.5	1	9207384	0.664753	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00031	GCF_000296215.2	GCA_000296215.2	paired		GCF_000296215.2	current	GCF_000296215.2	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. CCGE-LA001	1223566	CCGE-LA001	Complete Genome	7833499	63.5	1	7833499	-0.410757	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00032	GCF_000304595.1	GCA_000304595.1	paired		GCF_000304595.1	current	GCF_000304595.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium lupini HPC(L)	1229491	HPC(L)	Contig	5272243	59	90	148555	-2.41577	-6.0705	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00033	GCF_000344805.1	GCA_000344805.1	paired		GCF_000344805.1	current	GCF_000344805.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium oligotrophicum S58	1245469	S58	Complete Genome	8264165	65	1	8264165	-0.073621	2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00034	GCF_000373125.1	GCA_000373125.1	paired		GCF_000373125.1	current	GCF_000373125.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM4349	1040988	WSM4349	Scaffold	8294334	63	107	234491	-0.050004	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00035	GCF_000374205.1	GCA_000374205.1	paired		GCF_000374205.1	suppressed	GCA_000374205.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium japonicum USDA 124	1038862	USDA 124	Scaffold	9002274	64	130	264768	0.504188	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00036	GCF_000379145.1	GCA_000379145.1	paired		GCF_000379145.1	current	GCF_000379145.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii USDA 76	398525	USDA 76	Scaffold	9484767	63.5	25	1804836	0.881895	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00037	GCF_000379585.1	GCA_000379585.1	paired		GCF_000379585.1	current	GCF_000379585.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM2793	1038866	WSM2793	Scaffold	8871253	63.5	85	207176	0.401622	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00038	GCF_000421305.1	GCA_000421305.1	paired		GCF_000421305.1	current	GCF_000421305.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. is5	1304879	is5	Contig	7588794	64	60	378224	-0.602318	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00039	GCF_000426245.1	GCA_000426245.1	paired		GCF_000426245.1	current	GCF_000426245.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. Ai1a-2	196490	Ai1a-2	Scaffold	9029266	62.5	250	94268	0.525318	-1.349	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00040	GCF_000426265.1	GCA_000426265.1	paired		GCF_000426265.1	current	GCF_000426265.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. Cp5.3	443598	Cp5.3	Scaffold	8918781	63.5	150	218972	0.438828	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00041	GCF_000426785.1	GCA_000426785.1	paired		GCF_000426785.1	current	GCF_000426785.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. th-b2	172088	th.b2	Scaffold	10118060	63.5	275	170007	1.377652	0.0	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00042	GCF_000426845.1	GCA_000426845.1	paired		GCF_000426845.1	current	GCF_000426845.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. in8p8	1304878	in8p8	Scaffold	7589915	64	53	378302	-0.601441	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00043	GCF_000464155.1	GCA_000464155.2	paired		GCF_000464155.1	suppressed	GCA_000464155.2	GENBANK	current	fallback_current_genbank	Bradyrhizobium sp. JGI 0001002-A22	1094929	JGI 0001002-A22	Contig	1961262	61.5	67	70739	-5.007686	-2.698	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	genome_size_outlier;suppressed_or_unavailable_refseq_fallback
CANON_00044	GCF_000465325.1	GCA_000465325.1	paired		GCF_000465325.1	suppressed	GCA_000465325.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium sp. DFCI-1	1230476		Scaffold	7646147	64.5	98	141525	-0.557421	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00045	GCF_000472385.1	GCA_000472385.1	paired		GCF_000472385.1	current	GCF_000472385.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. ARR65	1040989	ARR65	Contig	8613869	62	139	144617	0.200135	-2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00046	GCF_000472425.1	GCA_000472425.1	paired		GCF_000472425.1	current	GCF_000472425.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. Tv2a-2	113395	Tv2a-2	Contig	8496279	62	87	339711	0.108083	-2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00047	GCF_000472645.1	GCA_000472645.1	paired		GCF_000472645.1	current	GCF_000472645.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM2254	1188263	WSM2254	Scaffold	9086516	64	105	158894	0.570135	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00048	GCF_000472685.1	GCA_000472685.1	paired		GCF_000472685.1	current	GCF_000472685.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium arachidis	858423	USDA 3384	Scaffold	9800269	63.5	52	376385	1.128878	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00049	GCF_000472725.1	GCA_000472725.1	paired		GCF_000472725.1	current	GCF_000472725.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium ottawense USDA 4	1038864	USDA 4	Scaffold	8737671	63.5	99	274635	0.29705	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00050	GCF_000472745.1	GCA_000472745.1	paired		GCF_000472745.1	current	GCF_000472745.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum USDA 38	1079467	USDA 38	Scaffold	9608975	63.5	109	349669	0.979128	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00051	GCF_000472765.1	GCA_000472765.1	paired		GCF_000472765.1	suppressed	GCA_000472765.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium elkanii USDA 3254	1079479	USDA 3254	Scaffold	8979722	64	87	249311	0.486534	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00052	GCF_000472865.1	GCA_000472865.1	paired		GCF_000472865.1	current	GCF_000472865.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii WSM2783	1038860	WSM2783	Scaffold	9902361	62.5	218	101503	1.208798	-1.349	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00053	GCF_000472925.1	GCA_000472925.1	paired		GCF_000472925.1	current	GCF_000472925.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. Ec3.3	189753	Ec3.3	Scaffold	10034502	62.5	160	159659	1.312241	-1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00054	GCF_000472945.1	GCA_000472945.1	paired		GCF_000472945.1	suppressed	GCA_000472945.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium japonicum USDA 135	1038863	USDA 135	Scaffold	7703324	64	548	25986	-0.512661	0.6745	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00055	GCF_000472965.1	GCA_000472965.1	paired		GCF_000472965.1	current	GCF_000472965.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium murdochi	1038859	WSM 1741	Scaffold	7952346	62	70	244068	-0.317721	-2.0235	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00056	GCF_000472985.1	GCA_000472985.1	paired		GCF_000472985.1	current	GCF_000472985.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum USDA 6	1037409	USDA 6	Scaffold	9131141	63.5	89	305135	0.605068	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00057	GCF_000473005.1	GCA_000473005.1	paired		GCF_000473005.1	suppressed	GCA_000473005.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium elkanii USDA 3259	1079466	USDA 3259	Scaffold	8722461	64	102	245986	0.285144	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	suppressed_or_unavailable_refseq_fallback
CANON_00058	GCF_000473025.1	GCA_000473025.1	paired		GCF_000473025.1	current	GCF_000473025.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens	1355477	USDA 122	Scaffold	8976980	64	103	323993	0.484387	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00059	GCF_000473045.1	GCA_000473045.1	paired		GCF_000473045.1	current	GCF_000473045.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM3983	1038867	WSM3983	Scaffold	8789602	63	73	243235	0.337703	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00060	GCF_000473065.1	GCA_000473065.1	paired		GCF_000473065.1	current	GCF_000473065.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM1743	318996	WSM1743	Scaffold	8341956	63.5	168	87873	-0.012725	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00061	GCF_000473125.1	GCA_000473125.1	paired		GCF_000473125.1	current	GCF_000473125.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium genosp. SA-4 str. CB756	936455	CB756	Scaffold	9826880	63.5	11	1566987	1.149709	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00062	GCF_000482425.1	GCA_000482425.1	paired		GCF_000482425.1	current	GCF_000482425.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. 22	1304877	22	Scaffold	7504559	64.5	30	385797	-0.668259	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00063	GCF_000482525.1	GCA_000482525.1	paired		GCF_000482525.1	current	GCF_000482525.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum USDA 123	936135	USDA 123	Scaffold	10457665	63.5	518	55934	1.643503	0.0	retain_candidate	secondary_fragmented	presence_absence_only	pending	pending	pangenome_fragmented;synteny_fragmented
CANON_00064	GCF_000485255.1	GCA_000485255.1	paired		GCF_000485255.1	suppressed	GCA_000485255.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium sp. JGI 0001019-J21	1268345	JGI 0001019-J21	Contig	1191681	62.5	106	20225	-5.610132	-1.349	manual_review	primary_contiguity_candidate	presence_absence_only	pending	pending	genome_size_outlier;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00065	GCF_000485335.1	GCA_000485335.1	paired		GCF_000485335.1	suppressed	GCA_000485335.1	GENBANK	current	fallback_current_genbank	Bradyrhizobium sp. JGI 0001019-M21	1268334	JGI 0001019-M21	Contig	236340	58	41	8965	-6.357996	-7.4195	manual_review	secondary_fragmented	presence_absence_only	pending	pending	gc_percent_outlier;genome_size_outlier;pangenome_fragmented;suppressed_or_unavailable_refseq_fallback;synteny_fragmented
CANON_00066	GCF_000497675.1	GCA_000497675.1	paired		GCF_000497675.1	current	GCF_000497675.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. OHSU_III	1297865	OHSU_III	Contig	7935543	64.5	82	329545	-0.330875	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00067	GCF_000515415.1	GCA_000515415.1	paired		GCF_000515415.1	current	GCF_000515415.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. WSM1417	754500	WSM1417	Scaffold	8048963	63	3	4089339	-0.242087	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00068	GCF_000518345.1	GCA_000518345.1	paired		GCF_000518345.1	current	GCF_000518345.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. URHA0013	1380352	URHA0013	Scaffold	7193102	64	25	1039865	-0.912075	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00069	GCF_000519225.1	GCA_000519225.1	paired		GCF_000519225.1	current	GCF_000519225.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii USDA 94	398524	USDA 94	Scaffold	9558895	63.5	174	138573	0.939924	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00070	GCF_000617845.2	GCA_000617845.2	paired		GCF_000617845.2	current	GCF_000617845.2	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. DOA9	1126627	DOA9	Scaffold	7850549	64.5	6	1899724	-0.39741	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00071	GCF_000648595.1	GCA_000648595.2	paired		GCF_000648595.1	current	GCF_000648595.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium diazoefficiens SEMIA 5080	754504	SEMIA 5080	Contig	9085533	64	13	1854659	0.569365	0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00072	GCF_000661935.1	GCA_000661935.1	paired		GCF_000661935.1	current	GCF_000661935.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum SEMIA 5079	476282	SEMIA 5079	Chromosome	9583027	63.5	10	1921582	0.958815	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00073	GCF_000701345.1	GCA_000701345.1	paired		GCF_000701345.1	current	GCF_000701345.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. URHD0069	1380355	URHD0069	Scaffold	6793945	60.5	132	128124	-1.224545	-4.047	manual_review	primary_contiguity_candidate	synteny_candidate	pending	pending	gc_percent_outlier
CANON_00074	GCF_000773865.1	GCA_000773865.1	paired		GCF_000773865.1	current	GCF_000773865.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum	375	Is-34	Scaffold	10326597	63	260	472902	1.5409	-0.6745	retain_candidate	primary_contiguity_candidate	presence_absence_only	pending	pending	synteny_fragmented
CANON_00075	GCF_000807315.1	GCA_000807315.1	paired		GCF_000807315.1	current	GCF_000807315.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium japonicum	375	E109	Complete Genome	9224208	63.5	1	9224208	0.677923	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00076	GCF_000878305.1	GCA_000878305.1	paired		GCF_000878305.1	current	GCF_000878305.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium elkanii	29448	UASWS1015	Contig	7820754	64.5	187	315183	-0.420734	1.349	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00077	GCF_000938235.1	GCA_000938235.1	paired		GCF_000938235.1	current	GCF_000938235.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. LTSPM299	1619233	LTSPM299	Scaffold	9094432	63	104	201877	0.576332	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00078	GCF_000938255.1	GCA_000938255.1	paired		GCF_000938255.1	current	GCF_000938255.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. LTSP849	1615890	LTSP849	Scaffold	8570160	63	63	339149	0.165919	-0.6745	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00079	GCF_000938285.1	GCA_000938285.1	paired		GCF_000938285.1	current	GCF_000938285.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. LTSP857	1619231	LTSP857	Scaffold	8426077	63.5	66	278582	0.053127	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
CANON_00080	GCF_000938305.1	GCA_000938305.1	paired		GCF_000938305.1	current	GCF_000938305.1	REFSEQ	current	current_refseq_preferred	Bradyrhizobium sp. LTSP885	1619232	LTSP885	Scaffold	7851216	63.5	60	213622	-0.396888	0.0	retain_candidate	primary_contiguity_candidate	synteny_candidate	pending	pending	
